EuPhO 2021 Experimental Round

Experimental setup:
 Heater power: 150W,
 Heating duration: 100s,

Sensor locations: 5.0cm, 10.0cm, 15.0cm, 20.0cm, 25.0cm.

| t(s) |  T1(C) |  T2(C) |  T3(C) |  T4(C) |  T5(C) |
|    0 |   26.6 |   26.7 |   27.0 |   26.9 |   27.0 | 
|   15 |  118.2 |   82.6 |   56.0 |   41.5 |   35.2 | 
|   30 |  173.5 |  132.9 |   98.4 |   76.5 |   65.6 | 
|   45 |  217.8 |  176.0 |  139.4 |  115.5 |  103.4 | 
|   60 |  257.5 |  215.6 |  178.5 |  154.3 |  141.9 | 
|   75 |  294.3 |  252.5 |  215.5 |  191.4 |  178.9 | 
|   90 |  328.4 |  286.9 |  250.1 |  226.2 |  213.8 | 
|  105 |  322.6 |  304.5 |  278.5 |  257.7 |  246.1 | 
|  120 |  281.1 |  277.1 |  270.4 |  264.1 |  260.1 | 
|  135 |  262.4 |  261.3 |  259.4 |  257.7 |  256.5 | 
|  150 |  249.9 |  249.7 |  249.1 |  248.6 |  248.2 | 
|  165 |  239.7 |  239.7 |  239.5 |  239.3 |  239.2 | 
|  180 |  230.5 |  230.5 |  230.5 |  230.4 |  230.4 | 
|  195 |  222.1 |  222.0 |  222.1 |  222.0 |  222.0 | 
|  210 |  214.1 |  214.1 |  214.1 |  214.1 |  214.1 | 
|  225 |  206.7 |  206.7 |  206.7 |  206.6 |  206.7 | 
|  240 |  199.7 |  199.6 |  199.7 |  199.6 |  199.6 | 
|  255 |  193.0 |  193.0 |  193.0 |  193.0 |  193.0 | 
|  270 |  186.7 |  186.8 |  186.8 |  186.7 |  186.7 | 
|  285 |  180.8 |  180.8 |  180.8 |  180.8 |  180.8 | 
|  300 |  175.2 |  175.2 |  175.2 |  175.1 |  175.1 | 
|  315 |  169.8 |  169.8 |  169.8 |  169.8 |  169.8 | 
|  330 |  164.7 |  164.7 |  164.8 |  164.7 |  164.6 | 
|  345 |  159.8 |  159.9 |  159.9 |  159.9 |  159.7 | 
|  360 |  155.2 |  155.2 |  155.3 |  155.3 |  155.1 | 
|  375 |  150.7 |  150.8 |  150.9 |  150.9 |  150.6 | 
|  390 |  146.5 |  146.6 |  146.7 |  146.7 |  146.3 | 
|  405 |  142.4 |  142.6 |  142.7 |  142.6 |  142.3 | 
|  420 |  138.5 |  138.7 |  138.8 |  138.7 |  138.4 | 
|  435 |  134.8 |  135.0 |  135.1 |  135.0 |  134.8 | 
|  450 |  131.2 |  131.4 |  131.5 |  131.5 |  131.2 | 
|  465 |  127.8 |  128.0 |  128.1 |  128.1 |  127.8 | 
|  480 |  124.5 |  124.7 |  124.8 |  124.8 |  124.6 | 
|  495 |  121.4 |  121.6 |  121.6 |  121.6 |  121.5 | 
|  510 |  118.3 |  118.6 |  118.6 |  118.6 |  118.5 | 
|  525 |  115.5 |  115.7 |  115.7 |  115.7 |  115.6 | 
|  540 |  112.7 |  112.9 |  112.9 |  112.9 |  112.8 | 
|  555 |  110.0 |  110.3 |  110.2 |  110.2 |  110.1 | 
|  570 |  107.4 |  107.7 |  107.6 |  107.6 |  107.6 | 
|  585 |  105.0 |  105.2 |  105.1 |  105.1 |  105.1 | 
|  600 |  102.6 |  102.8 |  102.7 |  102.7 |  102.7 | 
|  615 |  100.3 |  100.5 |  100.4 |  100.4 |  100.4 | 
|  630 |   98.1 |   98.3 |   98.2 |   98.2 |   98.2 | 
|  645 |   96.0 |   96.1 |   96.1 |   96.1 |   96.1 | 
|  660 |   94.0 |   94.0 |   94.0 |   94.0 |   94.1 | 
|  675 |   92.0 |   92.0 |   92.0 |   92.1 |   92.1 | 
|  690 |   90.1 |   90.0 |   90.1 |   90.2 |   90.2 | 
|  705 |   88.3 |   88.1 |   88.3 |   88.3 |   88.3 | 
|  720 |   86.4 |   86.3 |   86.4 |   86.5 |   86.5 | 
|  735 |   84.7 |   84.6 |   84.7 |   84.7 |   84.7 | 
|  750 |   83.0 |   82.9 |   83.0 |   83.0 |   82.9 | 
|  765 |   81.4 |   81.3 |   81.4 |   81.4 |   81.2 | 
|  780 |   79.8 |   79.8 |   79.8 |   79.8 |   79.6 | 
|  795 |   78.3 |   78.3 |   78.2 |   78.2 |   78.0 | 
|  810 |   76.8 |   76.8 |   76.8 |   76.7 |   76.6 | 
|  825 |   75.4 |   75.4 |   75.4 |   75.3 |   75.1 | 
|  840 |   74.0 |   74.0 |   74.0 |   73.9 |   73.8 | 
|  855 |   72.6 |   72.6 |   72.6 |   72.5 |   72.4 | 
|  870 |   71.3 |   71.3 |   71.4 |   71.2 |   71.2 | 
|  885 |   70.1 |   70.1 |   70.1 |   69.9 |   69.9 | 
|  900 |   68.9 |   68.9 |   68.9 |   68.7 |   68.7 | 
|  915 |   67.7 |   67.7 |   67.7 |   67.5 |   67.5 | 
|  930 |   66.5 |   66.5 |   66.5 |   66.4 |   66.4 | 
|  945 |   65.4 |   65.4 |   65.4 |   65.3 |   65.3 | 
|  960 |   64.3 |   64.3 |   64.3 |   64.2 |   64.2 | 
|  975 |   63.2 |   63.2 |   63.3 |   63.2 |   63.2 | 
|  990 |   62.2 |   62.2 |   62.2 |   62.2 |   62.2 | 
